algorithm,suite,D,GroupCount,mean_peakRecall,mean_bestConsensus,mean_IGDX,mean_nFoundShared
HHCMMEA,1,2,1,1,88.4785288453731,1.49569574693772e-05,2
HHCMMEA,1,3,1,0.5,88.7510525083775,0.223195988477615,1
HHCMMEA,1,5,1,0,0.046786118461327,0.812198704400082,0
HHCMMEA,1,10,1,0,2.15868233510719e-05,1.34986723609803,0
HHCMMEA,2,2,1,0.5,89.9994253726434,0.36225639795946,1
HHCMMEA,2,3,1,0.5,89.9999906146765,0.270493725120937,1
HHCMMEA,2,5,1,0,7.02629999207622,0.599603025472708,0
HHCMMEA,2,10,1,0,0.62625865425693,1.27425363206505,0
HHCMMEA,3,2,1,1,89.9999999674173,4.53773404094838e-07,1
HHCMMEA,3,3,1,1,89.9999451963083,0.000111886034402563,1
HHCMMEA,3,5,1,1,89.9997641502994,8.22658351931546e-05,1
HHCMMEA,3,10,1,0,0.03641806523936,1.03922484159721,0
HHCMMEA,4,2,1,0.5,89.999999999996,0.156513526194061,1
HHCMMEA,4,3,1,0.5,89.9999930037569,0.245228639548061,1
HHCMMEA,4,5,1,0.5,89.9999801602528,0.404940790505139,1
HHCMMEA,4,10,1,0,9.57546099868978e-05,0.684158929100256,0
HHCMMEA,5,2,1,1,89.9999995002561,2.76880432310764e-06,1
HHCMMEA,5,3,1,1,89.9972584939239,0.000689703509007542,1
HHCMMEA,5,5,1,1,89.9998113928655,0.000105705337693438,1
HHCMMEA,5,10,1,0,0.260833801844939,1.24245669772955,0
HHCMMEA,6,2,1,0.5,89.9999999477673,0.310284472486226,1
HHCMMEA,6,3,1,0.5,89.9979069264008,0.307013491954237,1
HHCMMEA,6,5,1,0.5,89.9969490331976,0.394967410779273,1
HHCMMEA,6,10,1,0,0.125866886187083,1.33834634957662,0
HHCMMEA,7,2,1,0.5,89.9999999947675,0.330832793679531,1
HHCMMEA,7,3,1,0.5,89.9999839239684,0.42441058373029,1
HHCMMEA,7,5,1,0,10.0894650458246,0.655419109551336,0
HHCMMEA,7,10,1,0,0.941693935511324,1.41311982937865,0
HHCMMEA,8,2,1,0.5,89.9999974658599,0.204310703545361,1
HHCMMEA,8,3,1,0.5,89.9999457893392,0.291493111578458,1
HHCMMEA,8,5,1,0.5,89.9981088156461,0.437803852413846,1
HHCMMEA,9,3,1,0.05,89.9999963819799,0.549006973988238,1
HHCMMEA,9,5,1,0.05,89.9997069154354,0.78034516669427,1
HHCMMEA,9,10,1,0,0.00024846953148483,1.10785182210643,0
HHCMMEA,10,2,1,0.166666666666667,89.9999999670116,0.512956143814524,1
HHCMMEA,10,3,1,0.166666666666667,89.9999667924101,0.606002279504962,1
HHCMMEA,10,5,1,0.166666666666667,89.9958206073055,0.639701261875179,1
HHCMMEA,10,10,1,0,0.965279365164221,1.13679478185441,0
HHCMMEA,11,2,1,0.125,89.9999982009559,0.511997046339575,1
HHCMMEA,11,3,1,0.125,89.9999856595857,0.827132701116492,1
HHCMMEA,11,5,1,0.125,89.9999843965751,0.628692486296699,1
HHCMMEA,11,10,1,0,0.467718856730201,1.32665590918698,0
HHCMMEA,12,2,1,0.0625,89.9999995339446,0.61533249171138,1
HHCMMEA,12,3,1,0.0625,89.9999908298168,0.677359956274849,1
HHCMMEA,12,5,1,0.0625,89.9998449881411,0.739658530066692,1
HHCMMEA,12,10,1,0,1.44423282752527,1.31157482100048,0
MMEAARM,1,2,1,1,88.4774605300843,0.00037265550235196,2
MMEAARM,1,3,1,0.5,88.7291308582534,0.222512041970413,1
MMEAARM,1,5,1,0,0.0475655114882443,0.62853195783222,0
MMEAARM,1,10,1,0,3.89136931460143e-05,1.0215348930856,0
MMEAARM,2,2,1,1,89.9962409013659,0.00475278167077005,2
MMEAARM,2,3,1,0,NaN,NaN,0
MMEAARM,2,5,1,0,7.02629999207622,0.592120122897268,0
MMEAARM,2,10,1,0,NaN,NaN,0
MMEAARM,3,2,1,1,89.9943748128687,0.000664121226599234,1
MMEAARM,3,3,1,1,87.3969147113346,0.0212437304030878,1
MMEAARM,3,5,1,1,89.7789446797656,0.00233666770669811,1
MMEAARM,3,10,1,1,86.8255984126923,0.00362065911194658,1
MMEAARM,4,2,1,1,89.9999639975998,0.000185703077881681,2
MMEAARM,4,3,1,1,89.6217409729919,0.0115248626123322,2
MMEAARM,4,5,1,0.5,89.8704132892171,0.0207071783962163,1
MMEAARM,4,10,1,0,9.57546099868978e-05,0.865903250766931,0
MMEAARM,5,2,1,1,89.9999856346562,2.70956208910139e-05,1
MMEAARM,5,3,1,1,87.9666391129227,0.0189415317896286,1
MMEAARM,5,5,1,1,89.9039449539629,0.00120772990159299,1
MMEAARM,5,10,1,0,0.260833801844939,1.14065564779233,0
MMEAARM,6,2,1,1,89.9908959133772,0.000863442724412773,2
MMEAARM,6,3,1,0.5,89.5187594474694,0.00730370486423695,1
MMEAARM,6,5,1,1,89.9754230203946,0.000782981959391465,2
MMEAARM,6,10,1,0,NaN,NaN,0
MMEAARM,7,2,1,1,89.9957246497746,0.00180082895085786,2
MMEAARM,7,3,1,1,89.9997078545791,0.00656225397212278,2
MMEAARM,7,5,1,1,89.9903477168651,0.00079164511796402,2
MMEAARM,7,10,1,0,0.941693935511324,0.802703496521915,0
MMEAARM,8,2,1,1,89.9103903637435,0.00811854269856727,2
MMEAARM,8,3,1,1,89.9952811438711,0.00722270056188159,2
MMEAARM,8,5,1,0,NaN,NaN,0
MMEAARM,9,10,1,0,NaN,NaN,0
MMEAARM,10,2,1,0.833333333333333,89.9999425730261,0.0908712396849679,5
MMEAARM,10,3,1,0.833333333333333,89.9983684821681,0.00609407101440348,5
MMEAARM,10,5,1,0.666666666666667,89.9054021286014,0.108770597989973,4
MMEAARM,10,10,1,0,NaN,NaN,0
MMEAARM,11,2,1,0.5,89.999699320456,0.192745897259116,4
MMEAARM,11,3,1,0,NaN,NaN,0
MMEAARM,11,5,1,0,NaN,NaN,0
MMEAARM,11,10,1,0,NaN,NaN,0
MMEAARM,12,2,1,0.375,89.9983352101436,0.152922890407098,6
MMEAARM,12,10,1,0,NaN,NaN,0
MMEAWI,1,2,1,1,88.4785432509862,5.4049120513854e-06,2
MMEAWI,1,3,1,0.5,90.5734619239393,0.223181214782075,1
MMEAWI,1,5,1,0,0.0477108969844693,0.74926896102505,0
MMEAWI,1,10,1,0,2.15868233510719e-05,1.0146897688145,0
MMEAWI,2,2,1,0.5,89.9999976154937,0.362042181021576,1
MMEAWI,2,3,1,0.5,89.9999988608916,0.270484818388257,1
MMEAWI,2,5,1,0,7.02629999207622,0.598769478889383,0
MMEAWI,2,10,1,0,0.62625865425693,0.819620998702997,0
MMEAWI,3,2,1,1,89.9999990925714,2.37152121961122e-06,1
MMEAWI,3,3,1,1,89.9999906534543,3.56598008854743e-05,1
MMEAWI,3,5,1,1,89.9999989853611,3.47183825253928e-06,1
MMEAWI,3,10,1,0,0.03641806523936,0.772155975494666,0
MMEAWI,4,2,1,0.5,89.9999999844399,0.1565141198134,1
MMEAWI,4,3,1,0.5,89.9999999500641,0.245204039968244,1
MMEAWI,4,5,1,0,13.0648706039322,0.783870106065816,0
MMEAWI,4,10,1,0,9.57546099868978e-05,0.984381571294813,0
MMEAWI,5,2,1,1,89.9999998498977,2.75377030421692e-06,1
MMEAWI,5,3,1,1,89.9999997994825,2.20969872337282e-06,1
MMEAWI,5,5,1,1,89.9998679445478,0.000111481641605349,1
MMEAWI,5,10,1,0,0.260833801844939,0.75154636475221,0
MMEAWI,6,2,1,0.5,89.9999994483534,0.310283967399226,1
MMEAWI,6,3,1,0.5,89.9999807866681,0.306964581007031,1
MMEAWI,6,5,1,0.5,89.9999543642942,0.394917582293367,1
MMEAWI,6,10,1,0,0.961269631568868,1.11217185036194,0
MMEAWI,7,2,1,0.5,89.9999766003635,0.330883583296668,1
MMEAWI,7,3,1,0.5,89.9999853618996,0.424418953603852,1
MMEAWI,7,5,1,0,10.0894650458246,0.655926106744425,0
MMEAWI,7,10,1,0,0.941693935511324,0.98226504281862,0
MMEAWI,8,2,1,0.5,89.9999998218416,0.204301580515862,1
MMEAWI,8,3,1,0.5,89.9999900518232,0.291427402699853,1
MMEAWI,8,5,1,0,11.6542931877659,0.486496154580906,0
MMEAWI,9,10,1,0,0.00024846953148483,0.846140551461151,0
MMEAWI,10,2,1,0.166666666666667,89.9999998071423,0.512955607174589,1
MMEAWI,10,3,1,0.166666666666667,89.9999936048373,0.619030281847877,1
MMEAWI,10,5,1,0.166666666666667,89.9999807120148,0.740696275966284,1
MMEAWI,10,10,1,0.166666666666667,89.9971855287655,0.789874887649846,1
MMEAWI,11,2,1,0.125,89.9999988418177,0.520692756891378,1
MMEAWI,11,3,1,0.125,89.9999991092425,0.654059980346238,1
MMEAWI,11,5,1,0.125,89.9999572124224,0.653619019072602,1
MMEAWI,11,10,1,0,0.467718856730201,0.913955161838498,0
MMEAWI,12,2,1,0.0625,89.9999984937767,0.516803562100741,1
MMEAWI,12,3,1,0.0625,89.9999995441998,0.677368850175209,1
MMEAWI,12,10,1,0,1.44423282752527,0.900182007167848,0
MMOEABH,1,2,1,0.5,88.2497542910045,0.289033954153273,1
MMOEABH,1,3,1,1,90.5734397989609,0.00019828295710197,2
MMOEABH,1,5,1,0.5,87.7747000479789,0.00410385479531675,1
MMOEABH,1,10,1,0,2.15868233510719e-05,0.712831139911999,0
MMOEABH,2,2,1,1,89.9999999781286,0.00113849937381147,2
MMOEABH,2,3,1,0.5,89.9999815688794,0.130642510151311,1
MMOEABH,2,5,1,0.5,89.9969794597682,0.315944212786544,1
MMOEABH,2,10,1,0,0.62625865425693,0.60100960272992,0
MMOEABH,3,2,1,0,64.8122282167226,0.287622687963916,0
MMOEABH,3,3,1,1,89.9602381454095,0.0029775445624954,1
MMOEABH,3,5,1,1,89.9741847036035,0.00154529424375741,1
MMOEABH,3,10,1,1,89.9976234982833,0.000159709357636001,1
MMOEABH,4,2,1,0.5,89.9998617876379,0.150281033446088,1
MMOEABH,4,3,1,0.5,89.9987872375338,0.245205709709077,1
MMOEABH,4,5,1,0,12.4812972808173,0.848335747424501,0
MMOEABH,4,10,1,0.5,89.8499067511219,0.368507340060766,1
MMOEABH,5,2,1,1,89.9999969287062,1.23556079875027e-05,1
MMOEABH,5,3,1,1,89.9995539732195,0.000250508699512924,1
MMOEABH,5,5,1,1,89.4829466023375,0.00373378972510522,1
MMOEABH,5,10,1,1,89.571565750551,0.00291005470882395,1
MMOEABH,6,2,1,1,89.9999938189462,1.01580043238616e-05,2
MMOEABH,6,3,1,0.5,89.9999463493294,0.283750059047284,1
MMOEABH,6,5,1,1,89.9813103133114,0.000589902278984004,2
MMOEABH,6,10,1,0,0.459531576390816,0.779127443231138,0
MMOEABH,7,2,1,0.5,89.9999526233494,0.155665591886662,1
MMOEABH,7,3,1,0.5,89.9989739133722,0.127806162863342,1
MMOEABH,7,5,1,1,89.9999004127153,0.000600433071256437,2
MMOEABH,7,10,1,0,0.941693935511324,0.859877340744688,0
MMOEABH,8,2,1,0.5,89.9999977167827,0.0618728017214577,1
MMOEABH,8,3,1,0.5,89.9999692673762,0.289913782496935,1
MMOEABH,8,5,1,1,89.9931785242796,0.0015157968073804,2
MMOEABH,9,10,1,0,0.000928192899607438,0.924677048072205,0
MMOEABH,10,2,1,0.666666666666667,89.999998846194,0.0833328441388514,4
MMOEABH,10,3,1,0.166666666666667,89.999998749507,0.619028274696506,1
MMOEABH,10,5,1,0.666666666666667,89.99989871234,0.154934555646673,4
MMOEABH,10,10,1,0.166666666666667,89.8547770137928,0.446198199653545,1
MMOEABH,11,2,1,0.375,89.9999997837994,0.257139096031863,3
MMOEABH,11,3,1,0.5,89.9999932060967,0.277026585317846,4
MMOEABH,11,5,1,0.375,89.9999822926512,0.426885134149798,3
MMOEABH,11,10,1,0.125,89.9893292799373,0.60669746548638,1
MMOEABH,12,2,1,0.3125,89.9999999985471,0.17654971056488,5
MMOEABH,12,3,1,0.25,89.9999987725289,0.329422613219533,4
MMOEABH,12,10,1,0.0625,89.9672343306654,0.825747736883419,1
MMOPSO,1,2,1,0.5,88.4785494117179,0.289017281682478,1
MMOPSO,1,3,1,0.5,88.7510606421465,0.223177405476606,1
MMOPSO,1,5,1,0,0.0465244769650752,0.730926662320846,0
MMOPSO,1,10,1,0,2.15868233510719e-05,1.13103465568777,0
MMOPSO,2,2,1,0.5,90,0.362039831364324,1
MMOPSO,2,3,1,0.5,90,0.270484252279982,1
MMOPSO,2,5,1,0,7.02629999207622,0.597377858801677,0
MMOPSO,2,10,1,0,0.62625865425693,0.887922557135119,0
MMOPSO,3,2,1,1,90,7.19012728858559e-11,1
MMOPSO,3,3,1,1,90,1.21649041442501e-10,1
MMOPSO,3,5,1,1,90,9.79402884822924e-11,1
MMOPSO,3,10,1,1,89.9999999999999,5.69691754677074e-10,1
MMOPSO,4,2,1,0.5,90,0.156513525598617,1
MMOPSO,4,3,1,0.5,90,0.24520282589075,1
MMOPSO,4,5,1,0.5,89.9999999518036,0.404924775523554,1
MMOPSO,4,10,1,0,1.1828421492055e-05,0.665692292348779,0
MMOPSO,5,2,1,1,90,2.09319278260532e-11,1
MMOPSO,5,3,1,1,90,8.6018174737668e-11,1
MMOPSO,5,5,1,1,90,6.18007700396062e-11,1
MMOPSO,5,10,1,1,89.9999999999997,1.95446038311595e-09,1
MMOPSO,6,2,1,0.5,90,0.310283963923057,1
MMOPSO,6,3,1,0.5,90,0.306956738302619,1
MMOPSO,6,5,1,0.5,90,0.394907063182949,1
MMOPSO,6,10,1,0,0.458293165904877,0.759156634028394,0
MMOPSO,7,2,1,0.5,90,0.330832634249658,1
MMOPSO,7,3,1,0.5,90,0.42439902761984,1
MMOPSO,7,5,1,0,10.0894650458246,0.59103432798079,0
MMOPSO,7,10,1,0,0.941693935511324,1.21114442569631,0
MMOPSO,8,2,1,0.5,90,0.204298794119065,1
MMOPSO,8,3,1,0.5,90,0.291419600850506,1
MMOPSO,8,5,1,0.5,90,0.437629617694018,1
MMOPSO,8,10,1,0,0.187677571105155,0.708791133528631,0
MMOPSO,9,10,1,0.05,89.9982826426731,0.949468590673008,1
MMOPSO,10,2,1,0.166666666666667,90,0.325343331514265,1
MMOPSO,10,3,1,0.166666666666667,90,0.606035754403413,1
MMOPSO,10,5,1,0.166666666666667,90,0.639582258195745,1
MMOPSO,10,10,1,0.166666666666667,89.9999999999978,0.789905269592614,1
MMOPSO,11,2,1,0.125,90,0.512010035675768,1
MMOPSO,11,3,1,0.125,90,0.588943122088283,1
MMOPSO,11,5,1,0.125,90,0.653612898255895,1
MMOPSO,11,10,1,0.125,89.9999999999989,0.785740224043361,1
MMOPSO,12,2,1,0.0625,90,0.444842529541599,1
MMOPSO,12,3,1,0.0625,90,0.677372936173724,1
MMOPSO,12,5,1,0.0625,90,0.807544971215273,1
MMOPSO,12,10,1,0.0625,89.9999999999999,1.0158996300545,1
NBN_CMEAS,1,2,1,1,88.4785494117038,0.000337272122042666,2
NBN_CMEAS,1,3,1,1,90.5694996690408,0.000784091519812599,2
NBN_CMEAS,1,5,1,0,0.0454340965845006,0.18902576246633,0
NBN_CMEAS,1,10,1,0,2.15868233510719e-05,0.484731000793772,0
NBN_CMEAS,2,2,1,1,89.9999999999991,0.000238875878649361,2
NBN_CMEAS,2,3,1,1,89.999867259249,0.00120710193106337,2
NBN_CMEAS,2,5,1,0,7.02629999207622,0.201523770980534,0
NBN_CMEAS,2,10,1,0,0.62625865425693,0.422928370977885,0
NBN_CMEAS,3,2,1,1,90,1.15554348528676e-10,1
NBN_CMEAS,3,3,1,1,89.99999999998,1.09026645094311e-08,1
NBN_CMEAS,3,5,1,1,89.9992590497786,0.000157701509170741,1
NBN_CMEAS,3,10,1,0,0.03641806523936,0.444853452684079,0
NBN_CMEAS,4,2,1,1,90,0.000191902912844083,2
NBN_CMEAS,4,3,1,1,89.9999987131986,0.00135214722663781,2
NBN_CMEAS,4,5,1,1,89.9934509739593,0.00194275796308069,2
NBN_CMEAS,4,10,1,0,9.57546099868978e-05,0.482425286042091,0
NBN_CMEAS,5,2,1,1,90,1.5814493959916e-10,1
NBN_CMEAS,5,3,1,1,89.9999999999076,4.81102511293929e-08,1
NBN_CMEAS,5,5,1,1,89.9999233730507,4.01179905352792e-05,1
NBN_CMEAS,5,10,1,0,61.9216947455024,0.018735779649757,0
NBN_CMEAS,6,2,1,1,89.9928958706859,0.000415261278692865,2
NBN_CMEAS,6,3,1,1,89.9122730216144,0.00143513543631582,2
NBN_CMEAS,6,5,1,0,71.1919514542972,0.401965309822903,0
NBN_CMEAS,6,10,1,0,0.458293165904877,0.394211119777052,0
NBN_CMEAS,7,2,1,1,90,6.62463538010474e-05,2
NBN_CMEAS,7,3,1,1,89.9975062997004,0.00145262767535931,2
NBN_CMEAS,7,5,1,1,89.9989693358886,0.0030260942442572,2
NBN_CMEAS,7,10,1,0,0.941693935511324,0.452766132611191,0
NBN_CMEAS,8,2,1,1,89.9999999999633,0.000849125723594343,2
NBN_CMEAS,8,3,1,1,89.9962210023699,0.000951674012847774,2
NBN_CMEAS,8,5,1,1,89.9921053228016,0.00315879699775107,2
NBN_CMEAS,8,10,1,0,0.187677571105155,0.409472260613128,0
NBN_CMEAS,9,2,1,0.65,89.9996060113531,0.0461161139232859,13
NBN_CMEAS,9,3,1,0.35,89.996425595318,0.194317836903678,7
NBN_CMEAS,9,5,1,0.2,89.9999945996463,0.485824365232291,4
NBN_CMEAS,9,10,1,0,0.00024846953148483,0.461550604765496,0
NBN_CMEAS,10,2,1,1,89.9959014540852,0.000530437330911455,6
NBN_CMEAS,10,3,1,1,89.9974798467197,0.00841958029751594,6
NBN_CMEAS,10,5,1,0.333333333333333,89.9988317693567,0.0102325402578828,2
NBN_CMEAS,10,10,1,0,0.965279365164221,0.441880747733025,0
NBN_CMEAS,11,2,1,1,89.9996638569843,0.00110574215265038,8
NBN_CMEAS,11,3,1,1,89.9999999942134,0.00460252304769735,8
NBN_CMEAS,11,5,1,0.5,89.945793286665,0.148504361249072,4
NBN_CMEAS,11,10,1,0,35.2561671228061,0.413887126908733,0
NBN_CMEAS,12,2,1,1,89.9999999999176,0.00182377652043754,16
NBN_CMEAS,12,3,1,0.8125,89.9999641416518,0.0473255762388123,13
NBN_CMEAS,12,5,1,0.3125,89.9905562404697,0.235525751447586,5
NBN_CMEAS,12,10,1,0.0625,86.1373622830407,1.04997139550088,1
